Order No,Order Date,Line No,Ship To Address No,Item Code,Order Qty,Quantity Shipped
528758,1/3/2019,1,1358538,111931,70,70
528791,1/3/2019,1,1254798,1029071,10,10
528791,1/3/2019,2,1254798,1033341,10,10
528791,1/3/2019,3,1254798,1040827,5,5
528791,1/3/2019,4,1254798,10106111,10,10
528791,1/3/2019,5,1254798,10105916,15,15
528791,1/3/2019,6,1254798,10106230,15,15
528791,1/3/2019,7,1254798,10106229,15,15
528791,1/3/2019,8,1254798,1040726,15,15
528791,1/3/2019,9,1254798,10098739,550,550
528791,1/3/2019,10,1254798,110441,300,300
528791,1/3/2019,11,1254798,1041106,70,70
528791,1/3/2019,12,1254798,1040765,75,75
528791,1/3/2019,13,1254798,1041105,70,70
528792,1/3/2019,1,1254798,1041108,5,5
528792,1/3/2019,2,1254798,1041107,15,15
528792,1/3/2019,3,1254798,1038323,10,10
528792,1/3/2019,4,1254798,1038324,5,5
528792,1/3/2019,5,1254798,1039305,5,5
528792,1/3/2019,6,1254798,1039308,5,5
528792,1/3/2019,7,1254798,1040991,5,5
528792,1/3/2019,8,1254798,1039306,10,10
528792,1/3/2019,9,1254798,1039311,5,5
528792,1/3/2019,10,1254798,10131275,250,250
528794,1/3/2019,1,1912451,1033341,1,1
528794,1/3/2019,2,1912451,10098739,1,1
528794,1/3/2019,3,1912451,1038324,1,1
528794,1/3/2019,4,1912451,10105916,1,1
528794,1/3/2019,5,1912451,1040726,1,1
528794,1/3/2019,6,1912451,110441,1,1
528794,1/3/2019,7,1912451,1041107,1,1
528795,1/3/2019,1,43824769,1039305,1,1
528795,1/3/2019,2,43824769,10098739,3,3
528795,1/3/2019,3,43824769,1040726,1,1
528795,1/3/2019,4,43824769,1029071,1,1
528795,1/3/2019,5,43824769,1038323,1,1
528795,1/3/2019,6,43824769,1038324,1,1
528795,1/3/2019,7,43824769,1041107,1,1
528796,1/3/2019,1,1551997,1040726,1,1
528796,1/3/2019,2,1551997,10105916,1,1
528796,1/3/2019,3,1551997,1029071,1,1
528796,1/3/2019,4,1551997,10098739,1,1
528796,1/3/2019,5,1551997,1038323,2,2
528796,1/3/2019,6,1551997,1038324,1,1
528796,1/3/2019,7,1551997,110441,2,2
528796,1/3/2019,8,1551997,1040991,1,1
528796,1/3/2019,9,1551997,10106229,1,1
528799,1/3/2019,1,1912432,1038323,1,1
528799,1/3/2019,2,1912432,1038324,1,1
528799,1/3/2019,3,1912432,1041108,1,1
528800,1/3/2019,1,1254731,1033341,1,1
528800,1/3/2019,2,1254731,1029071,1,1
528800,1/3/2019,3,1254731,10098739,10,10
528800,1/3/2019,4,1254731,10105916,1,1
528800,1/3/2019,5,1254731,1040726,1,1
528800,1/3/2019,6,1254731,1038323,1,1
528800,1/3/2019,7,1254731,1038324,2,2
528800,1/3/2019,8,1254731,1040827,1,1
528800,1/3/2019,9,1254731,110441,2,2
528801,1/3/2019,1,1912432,1040992,1,1
528802,1/3/2019,1,1254686,1039311,11,11
528802,1/3/2019,2,1254686,10106230,5,5
528802,1/3/2019,3,1254686,1040765,117,117
528802,1/3/2019,4,1254686,1041106,64,64
528802,1/3/2019,5,1254686,1041105,73,73
528803,1/3/2019,1,1912432,10106229,3,3
528803,1/3/2019,2,1912432,110441,4,4
528803,1/3/2019,3,1912432,10105916,2,2
528803,1/3/2019,4,1912432,10098739,7,7
528804,1/3/2019,1,1254692,10098739,7,7
528804,1/3/2019,2,1254692,1029071,1,1
528804,1/3/2019,3,1254692,1041108,1,1
528804,1/3/2019,4,1254692,1038323,1,1
528804,1/3/2019,5,1254692,110441,4,4
528804,1/3/2019,6,1254692,1039822,1,1
528804,1/3/2019,7,1254692,1041107,1,1
528805,1/3/2019,1,1995627,1038323,1,1
528805,1/3/2019,2,1995627,1038324,1,1
528805,1/3/2019,3,1995627,1039823,1,1
528805,1/3/2019,4,1995627,110441,2,2
528806,1/3/2019,1,1850371,1041108,1,1
528806,1/3/2019,2,1850371,1040992,1,1
528806,1/3/2019,3,1850371,1039823,1,1
528807,1/3/2019,1,2252839,1039306,1,1
528807,1/3/2019,2,2252839,10098739,2,2
528807,1/3/2019,3,2252839,1038324,1,1
528807,1/3/2019,4,2252839,1040827,1,1
528808,1/3/2019,1,1408777,10106111,1,1
528808,1/3/2019,2,1408777,1041108,1,1
528808,1/3/2019,3,1408777,10098739,2,2
528808,1/3/2019,4,1408777,1029071,1,1
528808,1/3/2019,5,1408777,110441,2,2
528809,1/3/2019,1,1254696,1039306,1,1
528809,1/3/2019,2,1254696,1029070,1,1
528809,1/3/2019,3,1254696,10098739,3,3
528809,1/3/2019,4,1254696,1038323,3,3
528809,1/3/2019,5,1254696,1038324,1,1
528809,1/3/2019,6,1254696,110441,2,2
528809,1/3/2019,7,1254696,1040992,1,1
528810,1/3/2019,1,1912451,10098739,12,12
528810,1/3/2019,2,1912451,10105916,1,1
528810,1/3/2019,3,1912451,110441,5,5
528811,1/3/2019,1,1551997,10098739,10,10
528811,1/3/2019,2,1551997,10105916,2,2
528811,1/3/2019,3,1551997,110441,9,9
528811,1/3/2019,4,1551997,10106229,4,4
528812,1/3/2019,1,43824769,10098739,8,8
528812,1/3/2019,2,43824769,110441,2,2
528812,1/3/2019,3,43824769,10106229,1,1
528813,1/3/2019,1,1254731,10098739,15,15
528813,1/3/2019,2,1254731,10106229,7,7
